Date,Position [Encoder Input Ch:0 -> ENC1001 -> HUB0002 Port:0 S/N:750804]
33:20.9,17934
33:21.1,17655
33:21.3,17353
33:21.5,17029
33:21.7,16718
33:21.9,16418
33:22.1,16141
33:22.3,15834
33:22.5,15521
33:22.7,15215
33:22.9,14915
33:23.1,14636
33:23.3,14318
33:23.5,13994
33:23.7,13689
33:23.9,13405
33:24.1,13126
33:24.3,12810
33:24.5,12513
33:24.7,12227
33:24.9,11965
33:25.1,11719
33:25.3,11439
33:25.5,11166
33:25.7,11083
33:25.9,11083
33:26.1,11083
33:26.3,11083
33:26.5,11083
33:26.7,11083
33:26.9,11083
33:27.1,11083
33:27.3,11083
33:27.5,11083
33:27.7,11083
33:27.9,11083
33:28.1,11083
33:28.3,11083
33:28.5,11083
33:28.7,11083
33:28.9,11350
33:29.1,11605
33:29.3,11905
33:29.5,12192
33:29.7,12503
33:29.9,12845
33:30.1,13183
33:30.3,13476
33:30.5,13753
33:30.7,14077
33:30.9,14413
33:31.1,14725
33:31.3,14998
33:31.5,15272
33:31.7,15589
33:31.9,15923
33:32.1,16226
33:32.3,16491
33:32.5,16776
33:32.7,17101
33:32.9,17438
33:33.1,17735
33:33.3,18010
33:33.5,18313
33:33.7,18647
33:33.9,18986
33:34.1,19279
33:34.3,19564
33:34.5,19888
33:34.7,20236
33:34.9,20560
33:35.1,20847
33:35.3,21156
33:35.5,21499
33:35.7,21847
33:35.9,22151
33:36.1,22441
33:36.3,22775
33:36.5,23078
33:36.7,23079
33:36.9,23079
33:37.1,23079
33:37.3,23079
33:37.5,23079
33:37.7,23079
33:37.9,23079
33:38.1,23079
33:38.3,23079
33:38.5,23079
33:38.7,23079
33:38.9,23079
33:39.1,23079
33:39.3,23079
33:39.5,23079
33:39.7,23079
33:39.9,23079
33:40.0,22810
33:40.2,22544
33:40.4,22219
33:40.6,21922
33:40.8,21591
33:41.0,21265
33:41.2,20957
33:41.4,20664
33:41.6,20390
33:41.8,20079
33:42.0,19764
33:42.2,19465
33:42.4,19183
33:42.6,18905
33:42.8,18589
33:43.0,18270
33:43.2,17976
33:43.4,17696
33:43.6,17402
33:43.8,17084
33:44.0,16775
33:44.2,16477
33:44.4,16204
33:44.6,15907
33:44.8,15596
33:45.0,15282
33:45.2,14991
33:45.4,14720
33:45.6,14415
33:45.8,14095
33:46.0,13795
33:46.2,13497
33:46.4,13231
33:46.6,12929
33:46.8,12629
33:47.0,12335
33:47.2,12071
33:47.4,11826
33:47.6,11565
33:47.8,11279
33:48.0,11127
33:48.2,11127
33:48.4,11127
33:48.6,11127
33:48.8,11127
33:49.0,11127
33:49.2,11127
33:49.4,11127
33:49.6,11127
33:49.8,11127
33:50.0,11127
33:50.2,11127
33:50.4,11127
33:50.6,11127
33:50.8,11127
33:51.0,11127
33:51.2,11428
33:51.4,11688
33:51.6,11980
33:51.8,12273
33:52.0,12595
33:52.2,12939
33:52.4,13268
33:52.6,13554
33:52.8,13842
33:53.0,14172
33:53.2,14505
33:53.4,14808
33:53.6,15072
33:53.8,15361
33:54.0,15685
33:54.2,16015
33:54.4,16302
33:54.6,16572
33:54.8,16870
33:55.0,17198
33:55.2,17529
33:55.4,17814
33:55.6,18092
33:55.8,18410
33:56.0,18751
33:56.2,19076
33:56.4,19362
33:56.6,19656
33:56.8,19985
33:57.0,20334
33:57.2,20643
33:57.4,20936
33:57.6,21255
33:57.8,21604
33:58.0,21940
33:58.2,22239
33:58.4,22536
33:58.6,22875
33:58.8,23066
33:59.0,23066
33:59.2,23066
33:59.4,23066
33:59.6,23066
33:59.8,23066
34:00.0,23066
34:00.2,23066
34:00.4,23066
34:00.6,23066
34:00.8,23066
34:01.0,23066
34:01.2,23066
34:01.4,23066
34:01.6,23066
34:01.8,23066
34:02.0,23066
34:02.2,23067
34:02.4,22798
34:02.6,22468
34:02.8,22139
34:03.0,21829
34:03.2,21486
34:03.4,21157
34:03.6,20832
34:03.8,20553
34:04.0,20247
34:04.2,19921
34:04.4,19603
34:04.6,19299
34:04.8,19018
34:05.0,18695
34:05.2,18371
34:05.4,18058
34:05.6,17758
34:05.8,17469
34:06.0,17135
34:06.2,16814
34:06.4,16498
34:06.6,16222
34:06.8,15920
34:07.0,15597
34:07.2,15279
34:07.4,14972
34:07.6,14694
34:07.8,14369
34:08.0,14044
34:08.2,13726
34:08.4,13433
34:08.6,13155
34:08.8,12837
34:09.0,12534
34:09.2,12237
34:09.4,11975
34:09.6,11729
34:09.8,11455
34:10.0,11169
34:10.2,11126
34:10.4,11126
34:10.6,11126
34:10.8,11126
34:11.0,11126
34:11.2,11126
34:11.4,11126
34:11.6,11126
34:11.8,11126
34:12.0,11126
34:12.2,11126
34:12.4,11126
34:12.6,11126
34:12.8,11126
34:13.0,11126
34:13.2,11126
34:13.4,11141
34:13.6,11429
34:13.8,11735
34:14.0,12025
34:14.2,12317
34:14.4,12648
34:14.6,12999
34:14.8,13318
34:15.0,13603
34:15.2,13897
34:15.4,14229
34:15.6,14564
34:15.8,14854
34:16.0,15122
34:16.2,15420
34:16.4,15742
34:16.6,16072
34:16.8,16350
34:17.0,16623
34:17.2,16931
34:17.4,17259
34:17.6,17587
34:17.8,17868
34:18.0,18153
34:18.2,18477
34:18.4,18821
34:18.6,19138
34:18.8,19420
34:19.0,19724
34:19.2,20061
34:19.4,20408
34:19.6,20710
34:19.8,21001
34:20.0,21335
34:20.2,21691
34:20.4,22017
34:20.6,22310
34:20.8,22619
34:21.0,22961
34:21.2,23102
34:21.4,23102
34:21.6,23102
34:21.8,23102
34:22.0,23102
34:22.2,23102
34:22.4,23102
34:22.6,23102
34:22.8,23102
34:23.0,23102
34:23.2,23102
34:23.4,23102
34:23.6,23102
34:23.8,23102
34:24.0,23102
34:24.2,23102
34:24.4,23102
34:24.6,23075
34:24.8,22786
34:25.0,22465
34:25.2,22146
34:25.4,21839
34:25.6,21507
34:25.8,21179
34:26.0,20863
34:26.2,20580
34:26.4,20285
34:26.6,19967
34:26.8,19653
34:27.0,19359
34:27.2,19076
34:27.4,18773
34:27.6,18452
34:27.8,18144
34:28.0,17842
34:28.2,17559
34:28.4,17241
34:28.6,16920
34:28.8,16610
34:29.0,16322
34:29.2,16042
34:29.4,15731
34:29.6,15420
34:29.8,15114
34:30.0,14825
34:30.2,14530
34:30.4,14212
34:30.6,13895
34:30.8,13593
34:31.0,13313
34:31.2,13018
34:31.4,12709
34:31.6,12415
34:31.8,12129
34:32.0,11883
34:32.2,11624
34:32.4,11340
34:32.6,11233
34:32.8,11232
34:33.0,11232
34:33.2,11232
34:33.4,11232
34:33.6,11232
34:33.8,11232
34:34.0,11232
34:34.2,11232
34:34.4,11232
34:34.6,11232
34:34.8,11232
34:35.0,11232
34:35.2,11232
34:35.4,11232
34:35.6,11232
34:35.8,11292
34:36.0,11571
34:36.2,11869
34:36.4,12158
34:36.6,12460
34:36.8,12795
34:37.0,13136
34:37.2,13440
34:37.4,13726
34:37.6,14035
34:37.8,14363
34:38.0,14687
34:38.2,14961
34:38.4,15236
34:38.6,15548
34:38.8,15874
34:39.0,16185
34:39.2,16455
34:39.4,16739
34:39.6,17054
34:39.8,17384
34:40.0,17693
34:40.2,17967
34:40.4,18268
34:40.6,18597
34:40.8,18931
34:41.0,19230
34:41.2,19516
34:41.4,19831
34:41.6,20168
34:41.8,20498
34:42.0,20795
34:42.2,21093
34:42.4,21433
34:42.6,21777
34:42.8,22088
34:43.0,22380
34:43.2,22698
34:43.4,23038
34:43.6,23199
34:43.8,23198
34:44.0,23198
34:44.2,23198
34:44.4,23198
34:44.6,23198
34:44.8,23198
34:45.0,23198
34:45.2,23198
34:45.4,23198
34:45.6,23198
34:45.8,23198
34:46.0,23198
34:46.2,23198
34:46.4,23198
34:46.6,23198
34:46.8,23198
34:47.0,23117
34:47.2,22828
34:47.4,22505
34:47.6,22175
34:47.8,21859
34:48.0,21518
34:48.2,21176
34:48.4,20865
34:48.6,20578
34:48.8,20277
34:49.0,19951
34:49.2,19631
34:49.4,19326
34:49.6,19044
34:49.8,18728
34:50.0,18405
34:50.2,18087
34:50.4,17787
34:50.6,17496
34:50.8,17168
34:51.0,16847
34:51.2,16532
34:51.4,16244
34:51.6,15948
34:51.8,15625
34:52.0,15306
34:52.2,14997
34:52.4,14718
34:52.6,14398
34:52.8,14072
34:53.0,13757
34:53.2,13456
34:53.4,13177
34:53.6,12867
34:53.8,12561
34:54.0,12260
34:54.2,11993
34:54.4,11749
34:54.6,11476
34:54.8,11222
34:55.0,11228
34:55.2,11228
34:55.4,11228
34:55.6,11228
34:55.8,11228
34:56.0,11228
34:56.2,11228
34:56.4,11228
34:56.6,11228
34:56.8,11228
34:57.0,11228
34:57.2,11228
34:57.4,11228
34:57.6,11228
34:57.8,11228
34:58.0,11228
34:58.2,11335
34:58.4,11615
34:58.6,11912
34:58.8,12197
34:59.0,12510
34:59.2,12851
34:59.4,13196
34:59.6,13495
34:59.8,13777
35:00.0,14102
35:00.2,14435
35:00.4,14753
35:00.6,15023
35:00.8,15305
35:01.0,15623
35:01.2,15955
35:01.4,16259
35:01.6,16526
35:01.8,16820
35:02.0,17145
35:02.2,17481
35:02.4,17775
35:02.6,18056
35:02.8,18367
35:03.0,18703
35:03.2,19037
35:03.4,19331
